accession,pubmed_ids,dois,pmcids
PXD010076,,10.1016/J.YMBEN.2019.03.004,
PXD010078,[30696436],10.1186/s12934-019-1071-7,PMC6350376
PXD010080,[30021165],10.1016/j.celrep.2018.06.071,PMC6077247
PXD010081,[31346634],10.1007/s00018-019-03234-x,PMC11104958
PXD010082,[31662455],10.1128/mbio.02174-19,PMC6819659
PXD010083,[30711108],10.1016/j.foodchem.2018.12.107,
PXD010085,[31612616],10.1111/liv.14276,
PXD010087,[30108271],10.1038/s41598-018-30553-z,PMC6092373
PXD010088,[30456372],10.26508/lsa.201800121,PMC6238619
PXD010090,[30061681],10.1038/s41556-018-0146-8,PMC6122583
PXD010091,[32291905],10.1111/acel.13140,PMC7189996
PXD010092,[31221719],10.1074/mcp.ra118.001193,PMC6731076
PXD010093,[30277781],10.1021/acs.jproteome.8b00398,
PXD010094,[31569265],10.1002/prot.25816,PMC6851497
PXD010095,[31240246],10.1038/s42003-019-0461-z,PMC6572810
PXD010096,[31250652],10.1021/acs.jproteome.8b00965,
PXD010097,[31527668],10.1038/s41388-019-1009-x,PMC6962096
PXD010102,[30283482],10.3389/fpls.2018.01373,PMC6156276
PXD010103,[30262884],10.1038/s41467-018-06172-7,PMC6160451
PXD010104,[30510037],10.1104/pp.18.01194,PMC6446758
PXD010106,[30696811],10.1038/s41398-019-0388-7,PMC6351542
PXD010108,[30279523],10.1038/s41598-018-33045-2,PMC6168554
PXD010110,[33264611],10.1016/j.celrep.2020.108450,PMC8908386
PXD010111,[33264611],10.1016/j.celrep.2020.108450,PMC8908386
PXD010112,[31205498],10.1177/1758835919841233,PMC6535709
PXD010113,[30142254],10.1002/pmic.201800194,
PXD010114,[30521760],10.1096/fj.201801463r,
PXD010115,[30392668],10.1016/j.aca.2018.09.050,
PXD010117,[31390575],10.1016/j.celrep.2019.07.019,PMC6693557
PXD010118,[31146973],10.1016/j.kint.2019.02.015,PMC6650374
PXD010120,[30557394],10.1371/journal.pone.0209120,PMC6296524
PXD010121,[30046053],10.1038/s41467-018-05374-3,PMC6060088
PXD010124,[30343899],10.1016/j.cell.2018.09.032,PMC6791824
PXD010125,[30629479],10.1089/omi.2018.0155,
PXD010126,[31178895],10.3389/fgene.2019.00473,PMC6544118
PXD010132,[30039638],10.1002/pmic.201800076,
PXD010136,[33252673],10.1093/molbev/msaa298,PMC8042767
PXD010137,[30658981],10.1128/aem.02935-18,PMC6414365
PXD010138,[31207390],10.1016/j.nbd.2019.104509,
PXD010142,[30238754],10.1021/acs.jproteome.8b00386,
PXD010143,[30418648],10.1093/nar/gky1136,PMC6326799
PXD010145,[30375456],10.1038/s41598-018-34418-3,PMC6207660
PXD010148,[31893310],10.1007/s00018-019-03434-5,PMC7658075
PXD010149,[32087365],10.1016/j.ijid.2020.02.026,
PXD010150,"[30210768, 32175737]","10.1039/c8sc02680g,10.1021/acs.jproteome.9b00766","PMC6124911,PMC7217331"
PXD010152,[21472528],10.1007/s13361-011-0107-y,
PXD010153,[30777893],10.15252/msb.20188513,PMC6379048
PXD010154,[30777892],10.15252/msb.20188503,PMC6379049
PXD010155,[30327431],10.1074/jbc.ra118.004516,PMC6295722
PXD010156,[30024987],10.1371/journal.pone.0201027,PMC6053223
PXD010159,[31462935],10.1186/s13100-019-0178-z,PMC6707001
PXD010161,[31138642],10.1074/mcp.ra119.001486,PMC6731087
PXD010164,[30602778],10.1038/s41467-018-07858-8,PMC6315032
PXD010165,[30048702],10.1016/j.bbapap.2018.07.006,
PXD010166,[31105878],10.18632/oncotarget.26836,PMC6508204
PXD010167,[30550596],10.1371/journal.pone.0208979,PMC6294390
PXD010168,[31268533],10.1093/gbe/evz080,PMC6607854
PXD010169,[30267877],10.1016/j.jprot.2018.09.010,
PXD010171,[30284757],10.1002/pmic.201700397,
PXD010173,[31527085],10.1074/jbc.ra119.009085,PMC6851338
PXD010174,[31645764],10.1038/s41586-019-1665-6,
PXD010175,[30944321],10.1038/s41467-019-09469-3,PMC6447538
PXD010176,[30219844],10.1093/bioinformatics/bty805,
PXD010177,[30139799],10.1261/rna.068056.118,PMC6239180
PXD010179,[32514074],10.1038/s41564-020-0736-7,PMC7610801
PXD010180,[30964684],10.1021/acs.jproteome.8b00801,
PXD010185,,10.1038/S41598-019-47994-9,
PXD010186,[30285610],10.1186/s12864-018-5092-0,PMC6167799
PXD010188,[31245178],10.7717/peerj.7104,PMC6585907
PXD010191,[30374169],10.1038/s41564-018-0268-6,
PXD010192,[30277459],10.7554/eLife.39188,PMC6173583
PXD010193,[31085176],10.1016/j.ccell.2019.04.005,PMC6945775
PXD010197,[30194279],10.1074/jbc.RA118.003887,PMC6204899
PXD010200,[30346651],10.1111/1462-2920.14419,
PXD010201,[30500420],10.1016/j.freeradbiomed.2018.11.022,PMC6342545
PXD010202,[30327463],10.1038/s41467-018-06665-5,PMC6191444
PXD010207,[30126924],10.15252/embr.201845889,PMC6123663
PXD010208,[30103608],10.1021/acs.analchem.8b01843,PMC6719555
PXD010210,[30295461],10.1021/acs.analchem.8b03418,
PXD010211,[31969984],10.1038/s41522-019-0112-7,PMC6962202
PXD010214,[30971704],10.1038/s41598-019-41336-5,PMC6458113
PXD010216,[30459712],10.3389/fendo.2018.00611,PMC6232228
PXD010217,[30679640],10.1038/s41598-018-37174-6,PMC6345777
PXD010220,[31154437],10.1074/mcp.ra118.001269,PMC6553941
PXD010221,[30644821],10.7554/elife.41740,PMC6349399
PXD010222,[30146169],10.1016/j.str.2018.07.007,PMC6221991
PXD010223,[30010936],10.1093/nar/gky625,PMC6144784
PXD010224,[30093655],10.1038/s41467-018-05402-2,PMC6085299
PXD010226,[30499115],10.1002/jper.18-0217,
PXD010227,[36145752],10.3390/plants11182350,PMC9500794
PXD010228,[30877231],10.1242/jeb.198556,
PXD010230,[30092220],10.1016/j.yexcr.2018.08.007,
PXD010231,[30605679],10.1016/j.celrep.2018.12.027,PMC6316133
PXD010232,[30280388],10.1002/elps.201800258,
PXD010237,[30114372],10.1021/acs.jproteome.8b00505,
PXD010238,[30928027],10.1016/j.micres.2019.02.006,
PXD010239,[30242280],10.1038/s41467-018-06298-8,PMC6155069
PXD010242,[31029696],10.1016/j.molmet.2019.04.006,PMC6600078
PXD010244,[30617156],10.1074/mcp.ra118.000739,PMC6442359
PXD010245,[30127427],10.1038/s41593-018-0212-3,
PXD010246,[30683686],10.1074/mcp.ra118.001278,PMC6427237
PXD010247,[30451371],10.1002/pmic.201800157,
PXD010248,[31042781],10.1371/journal.pone.0215909,PMC6494042
PXD010249,[31042781],10.1371/journal.pone.0215909,PMC6494042
PXD010250,[31394312],10.1016/j.jprot.2019.103479,
PXD010254,[31733993],10.1016/j.molcel.2019.10.014,PMC7137507
PXD010255,[30212765],10.1016/j.bioorg.2018.08.025,
PXD010256,[30503830],10.1016/j.jprot.2018.11.020,
PXD010258,[31021607],10.1021/acs.analchem.8b03828,PMC6693507
PXD010260,[30419021],10.1371/journal.pone.0206475,PMC6231613
PXD010264,[31626733],10.1021/acsinfecdis.9b00264,
PXD010265,[31317746],10.1021/acs.jproteome.9b00160,
PXD010269,[31337761],10.1038/s41467-019-11182-0,PMC6650486
PXD010271,[30300549],10.1021/acs.jproteome.8b00580,
PXD010272,[33050482],10.3390/ijms21207472,PMC7656294
PXD010273,,10.1002/SSCP.201900057,
PXD010275,[31565104],10.1155/2019/8298524,PMC6745167
PXD010276,,10.1186/S41231-022-00108-6,
PXD010277,[30109319],10.1039/c8cc05265d,
PXD010279,[30386308],10.3389/fmicb.2018.02371,PMC6198727
PXD010281,[30737390],10.1038/s41467-019-08565-8,PMC6368585
PXD010283,,10.1021/ACS.JPROTEOME.9B00738,
PXD010285,[30984116],10.3389/fendo.2019.00199,PMC6449728
PXD010288,,10.1101/633479,
PXD010290,[31055923],10.1021/acs.jproteome.9b00003,PMC6624648
PXD010292,[30598531],"10.1038/s41556-018-0256-3,10.1038/S41556-018-0256-3",PMC6525097
PXD010293,[30552291],10.1074/mcp.ra118.001067,PMC6427228
PXD010294,[30520266],10.1002/prca.201800128,
PXD010296,[30462917],10.1021/acs.jproteome.8b00792,
PXD010297,[33446097],10.1186/s12864-020-07365-5,PMC7809856
PXD010298,[30220204],10.1021/acs.jproteome.8b00525,
PXD010304,[30795634],10.3390/cells8020192,PMC6406872
PXD010305,[31164053],10.1080/22221751.2019.1615848,PMC6566608
PXD010306,[30221418],10.1002/rcm.8283,PMC6636927
PXD010307,[31099962],10.1002/pmic.201900068,
PXD010308,[30487799],10.3389/fimmu.2018.02645,PMC6246689
PXD010312,[29895970],10.1038/s41388-018-0312-2,PMC6169732
PXD010313,[30410018],10.1038/s41467-018-06865-z,PMC6224560
PXD010315,[30156851],10.1021/acs.jproteome.8b00526,
PXD010317,[32128395],10.1126/sciadv.aax5783,PMC7030922
PXD010318,[28547791],10.1002/anie.201702242,
PXD010319,[28547791],10.1002/anie.201702242,
PXD010322,,10.3390/AGRONOMY12092048,
PXD010325,[31160315],10.15252/embj.2018101082,
PXD010326,[30319353],10.3389/fnmol.2018.00345,PMC6166100
PXD010328,,10.1002/PRCA.201900052,
PXD010329,[30462291],10.1093/nar/gky1163,PMC6326813
PXD010330,[30895174],10.3389/fcimb.2019.00043,PMC6414445
PXD010333,[30237200],10.1074/mcp.ra118.000967,PMC6317476
PXD010334,[31264961],10.7554/eLife.45068,PMC6636998
PXD010335,[31659326],10.1038/s41592-019-0614-5,
PXD010336,[30141336],10.1021/acs.jproteome.8b00372,PMC6650147
PXD010338,,10.1016/J.FREERADBIOMED.2019.05.018,
PXD010341,[30632691],10.1002/pmic.201800156,
PXD010342,[30365505],10.1371/journal.pntd.0006873,PMC6221359
PXD010343,,10.1002/PRCA.201900052,
PXD010351,,10.1002/PRCA.201900052,
PXD010352,"[32620905, 30457570]","10.1038/s41467-020-17145-0,10.1038/sdata.2018.262","PMC7334205,PMC6244183"
PXD010355,[30778561],10.1093/jxb/erz059,
PXD010356,[30606734],10.1074/mcp.ra118.001290,PMC6398205
PXD010357,[31395880],10.1038/s41467-019-11452-x,PMC6687710
PXD010358,[34786609],10.1007/s00705-021-05287-5,
PXD010359,[30556639],10.1111/1462-2920.14505,
PXD010361,[30190327],10.1074/jbc.ra118.005114,PMC6222108
PXD010362,[30598531],"10.1038/s41556-018-0256-3,10.1038/S41556-018-0256-3",PMC6525097
PXD010364,[31027199],10.3390/ijms20082038,PMC6514549
PXD010367,[30288912],10.1002/pmic.201800286,
PXD010369,[30293968],10.1074/mcp.ra118.000980,PMC6317471
PXD010370,[32433961],10.1016/j.celrep.2020.107652,PMC7242912
PXD010371,[31009805],10.1016/j.jprot.2019.04.009,
PXD010372,[30241606],10.1016/j.cell.2018.08.065,PMC6827878
PXD010373,[31704028],10.1016/j.neuron.2019.09.027,PMC6926483
PXD010376,[30021883],10.1074/mcp.ra118.000640,PMC6166680
PXD010378,[34955646],10.2147/jir.s340351,PMC8694403
PXD010379,[31242426],10.1016/j.celrep.2019.05.095,PMC6613042
PXD010380,[34361002],10.3390/ijms22158236,PMC8347210
PXD010382,[31133761],10.1038/s41592-019-0427-6,
PXD010383,[32434922],10.1074/mcp.ra120.002102,PMC8015006
PXD010384,[31569265],10.1002/prot.25816,PMC6851497
PXD010385,[31569265],10.1002/prot.25816,PMC6851497
PXD010388,[31640547],10.1186/s12864-019-6151-x,PMC6805393
PXD010389,[30472255],10.1016/j.jprot.2018.11.013,
PXD010393,[30104208],10.1074/mcp.tir118.000853,PMC6210218
PXD010395,[30250408],10.1186/s12014-018-9206-0,PMC6145347
PXD010396,[30686758],10.1016/j.chembiol.2018.12.001,
PXD010397,[31406667],10.1002/advs.201900295,PMC6685478
PXD010398,[30320547],10.7554/elife.39655,PMC6211827
PXD010400,[34955646],10.2147/jir.s340351,PMC8694403
PXD010401,[30242258],10.1038/s41467-018-06069-5,PMC6155045
PXD010404,[30536591],10.1002/pmic.201800248,
PXD010405,[30264983],10.1021/acsinfecdis.8b00097,PMC6199744
PXD010406,[30264983],10.1021/acsinfecdis.8b00097,PMC6199744
PXD010407,[30264983],10.1021/acsinfecdis.8b00097,PMC6199744
PXD010408,[30264983],10.1021/acsinfecdis.8b00097,PMC6199744
PXD010409,[30264983],10.1021/acsinfecdis.8b00097,PMC6199744
PXD010410,[31569265],10.1002/prot.25816,PMC6851497
PXD010412,[30218046],10.1038/s41467-018-05767-4,PMC6138742
PXD010413,[30489082],10.1021/acs.jproteome.8b00550,PMC6326037
PXD010414,[31355153],10.3389/fcimb.2019.00252,PMC6639785
PXD010415,,10.1016/J.JPROT.2020.103812,
PXD010416,[30067223],10.7554/elife.38430,PMC6156078
PXD010417,[30067223],10.7554/elife.38430,PMC6156078
PXD010418,[30067223],10.7554/elife.38430,PMC6156078
PXD010420,[30067223],10.7554/elife.38430,PMC6156078
PXD010422,[30125099],10.1021/acs.analchem.8b00737,
PXD010424,[30327463],10.1038/s41467-018-06665-5,PMC6191444
PXD010425,[32461585],10.1038/s41597-020-0499-2,PMC7253430
PXD010426,[30208853],10.1186/s12870-018-1413-3,PMC6134590
PXD010427,[30379851],10.1371/journal.pone.0205596,PMC6209197
PXD010428,[30067223],10.7554/elife.38430,PMC6156078
PXD010429,[31395880],10.1038/s41467-019-11452-x,PMC6687710
PXD010430,[30254268],10.1038/s41598-018-32481-4,PMC6156325
PXD010431,[31876091],10.1111/1462-2920.14907,PMC7065180
PXD010433,[30729447],10.1007/s11120-019-00621-0,
PXD010435,[31585525],10.1186/s12864-019-6058-6,PMC6778390
PXD010436,[31315557],10.1186/s12859-019-2990-3,PMC6637640
PXD010437,[32534439],10.1016/j.isci.2020.101079,PMC7298555
PXD010438,[30673600],10.1016/j.celrep.2018.12.075,
PXD010439,,10.1016/J.JASREP.2019.01.010,
PXD010440,[30300945],10.1111/nph.15523,PMC6367033
PXD010445,[30228260],10.1038/s41467-018-06235-9,PMC6143588
PXD010449,[30923110],10.1073/pnas.1812413116,PMC6475369
PXD010450,[30530751],10.1182/blood-2018-07-866830,
PXD010451,[30149710],10.1021/acs.jproteome.8b00452,
PXD010452,[31381180],10.15252/embj.2019102578,PMC6912027
PXD010454,,10.1021/ACS.JPROTEOME.8B00655,
PXD010455,[30664249],10.1111/nph.15690,
PXD010456,[34780171],10.1021/acs.analchem.1c03224,
PXD010457,[35453450],10.3390/antiox11040765,PMC9029456
PXD010458,,10.1002/PRCA.201900052,
PXD010459,[31669359],10.1016/j.jprot.2019.103560,
PXD010460,[30250061],10.1038/s41556-018-0198-9,PMC6863750
PXD010461,[30975858],10.1126/science.aav0748,
PXD010466,,10.17344/ACSI.2018.4632,
PXD010467,[31160380],10.26508/lsa.201900304,PMC6549139
PXD010468,[30930119],10.1016/j.ccell.2019.03.001,PMC6467783
PXD010469,[31896675],10.1074/mcp.ra119.001873,PMC7050111
PXD010470,[30150748],10.1038/s41467-018-05969-w,PMC6110835
PXD010471,[30883802],10.1002/elps.201900087,PMC6593423
PXD010472,[31785127],10.1002/2211-5463.12770,PMC6996330
PXD010474,[34428048],10.1021/acs.jproteome.1c00551,PMC8744476
PXD010476,[30969469],10.1002/anie.201903472,PMC6555641
PXD010477,[31027772],10.1016/j.fm.2019.02.003,
PXD010479,"[32632294, 31569265]","10.1038/s41589-020-0587-9,10.1002/prot.25816",PMC6851497
PXD010480,[30080416],10.1021/acs.jproteome.8b00459,PMC7236337
PXD010483,[31569265],10.1002/prot.25816,PMC6851497
PXD010487,[24140279],10.1016/j.jprot.2013.10.008,
PXD010489,[31851916],10.1016/j.celrep.2019.11.055,
PXD010492,,10.1002/PMIC.201800302,
PXD010494,[30712865],10.1016/j.cell.2018.12.028,PMC6751136
PXD010495,[30599920],10.1016/j.foodres.2018.07.039,
PXD010496,[31785127],10.1002/2211-5463.12770,PMC6996330
PXD010498,[30186274],10.3389/fmicb.2018.01970,PMC6110889
PXD010500,[30185903],10.1038/s41586-018-0482-7,
PXD010504,[30445130],10.1016/j.micinf.2018.10.006,
PXD010505,[30804422],10.1038/s41598-019-39231-0,PMC6389960
PXD010506,[31758065],10.1038/s41598-019-53984-8,PMC6874669
PXD010507,[32664808],10.1080/03008207.2020.1791103,
PXD010508,[31738831],10.1182/bloodadvances.2019031609,PMC6880908
PXD010511,[30266824],10.15252/embj.201899763,PMC6293278
PXD010512,[30389936],10.1038/s41467-018-07063-7,PMC6214896
PXD010513,[30332462],10.1371/journal.pone.0205719,PMC6192629
PXD010514,[30833939],10.3389/fmicb.2019.00258,PMC6387971
PXD010515,"[34855411, 27346420]","10.1021/acs.jproteome.1c00517,10.1038/ncomms12081","PMC9037389,PMC4931248"
PXD010516,[30269983],10.1016/j.cmet.2018.08.022,
PXD010519,[31123605],10.1038/s41541-019-0111-y,PMC6520342
PXD010520,[30528433],10.1016/j.cell.2018.11.004,
PXD010525,[30833939],10.3389/fmicb.2019.00258,PMC6387971
PXD010527,[30124983],10.1093/nar/gky719,PMC6182143
PXD010528,[31054967],10.1016/j.jprot.2019.05.001,
PXD010529,[30195436],10.1016/j.cels.2018.08.001,PMC6167078
PXD010530,[30867249],10.1681/ASN.2018090914,PMC6442340
PXD010532,[30767890],10.7554/elife.41556,PMC6377233
PXD010533,[30560367],10.1007/s00204-018-2375-9,
PXD010534,[31855752],10.1016/j.chemosphere.2019.125599,
PXD010537,[31420692],10.1007/s00253-019-10020-z,
PXD010538,"[30368041, 30456249]","10.1016/j.redox.2018.10.002,10.1016/j.dib.2018.10.079","PMC6202877,PMC6231036"
PXD010539,[30790448],10.1002/pmic.201800161,
PXD010540,[30220458],10.1016/j.cell.2018.08.013,PMC6800251
PXD010543,[32668389],10.1016/j.eplepsyres.2020.106412,
PXD010544,[32668389],10.1016/j.eplepsyres.2020.106412,
PXD010545,[30962257],10.1074/mcp.ra118.000988,PMC6601204
PXD010548,[30158631],10.1038/s41467-018-05978-9,PMC6115407
PXD010549,[30158631],10.1038/s41467-018-05978-9,PMC6115407
PXD010550,[31474963],10.3389/fmicb.2019.01883,PMC6707425
PXD010554,[33637753],10.1038/s41467-021-21540-6,PMC7910609
PXD010556,[31156689],10.3389/fpls.2019.00641,PMC6530609
PXD010557,"[32773033, 31332098, 33910018]","10.7554/elife.57390,10.1074/mcp.ra119.001472,10.1016/j.celrep.2021.109032","PMC7447446,PMC6773557,PMC8097692"
PXD010558,[31418899],10.15252/embj.2018100948,PMC6745502
PXD010559,[31335145],10.1021/acs.jproteome.9b00324,PMC7105274
PXD010560,[32614981],10.1111/jnc.15116,PMC7775912
PXD010567,[30718293],10.1074/mcp.ra118.000997,PMC6495258
PXD010568,[30545835],10.1182/blood-2018-07-862953,PMC6396177
PXD010569,,10.1007/S13562-020-00578-5,
PXD010570,[31461451],10.1371/journal.pone.0220568,PMC6713327
PXD010571,[30576155],10.1021/acs.jproteome.8b00870,PMC6399672
PXD010572,[31154437],10.1074/mcp.ra118.001269,PMC6553941
PXD010574,[32365528],10.3390/cancers12051108,PMC7281325
PXD010575,[30783145],10.1038/s41598-019-38688-3,PMC6381082
PXD010576,[33523982],10.1126/sciadv.aba7803,PMC7793588
PXD010579,[30518674],10.1074/mcp.ra118.001248,PMC6427235
PXD010580,[30387490],10.1039/c8mo00095f,PMC6289107
PXD010582,[30952847],10.1038/s41467-019-09472-8,PMC6450895
PXD010583,[30952847],10.1038/s41467-019-09472-8,PMC6450895
PXD010584,[30952847],10.1038/s41467-019-09472-8,PMC6450895
PXD010585,[30336044],10.1021/acs.jproteome.8b00762,
PXD010586,[30217979],10.1038/s41467-018-06196-z,PMC6138693
PXD010587,[31328383],10.1002/pmic.201800444,
PXD010588,,10.1016/J.IJMS.2018.12.013,
PXD010589,[31461451],10.1371/journal.pone.0220568,PMC6713327
PXD010590,[30336045],10.1021/acs.jproteome.8b00625,
PXD010592,[32538093],10.1021/acs.jproteome.0c00303,PMC8141340
PXD010594,[30926673],10.1074/mcp.ra118.001267,PMC6553931
PXD010595,[31133760],10.1038/s41592-019-0426-7,
PXD010596,[30952847],10.1038/s41467-019-09472-8,PMC6450895
PXD010597,[31462798],10.1038/s41586-019-1487-6,PMC6797499
PXD010598,[30377224],10.1126/scisignal.aat5018,PMC8325875
PXD010600,[30792264],10.1074/mcp.ra119.001390,PMC6495257
PXD010601,[30503751],10.1016/j.devcel.2018.11.011,PMC6302147
PXD010602,[32241177],10.1177/1759091420914768,PMC7132820
PXD010603,[30735395],10.1021/acs.jproteome.9b00004,PMC6480317
PXD010604,[30484658],10.1021/acs.jproteome.8b00818,
PXD010606,[30012605],10.1073/pnas.1803662115,PMC6077745
PXD010608,[31322812],"10.1111/JTH.14580,10.1111/jth.14580",
PXD010609,[31722399],10.1093/nar/gkz977,PMC7145520
PXD010610,[30938511],10.1021/acs.chemrestox.9b00069,PMC7138413
PXD010611,[31061140],10.1074/mcp.ra119.001496,PMC6601211
PXD010612,[32171124],10.1016/j.isci.2020.100947,PMC7068643
PXD010613,[35793793],10.1021/acs.jproteome.2c00334,PMC9361346
PXD010614,[30356046],10.1038/s41467-018-06869-9,PMC6200803
PXD010615,[33216923],10.1093/jxb/eraa550,PMC8042743
PXD010618,[30654742],10.1186/s12864-019-5431-9,PMC6337836
PXD010619,[33216923],10.1093/jxb/eraa550,PMC8042743
PXD010621,[31078527],10.1016/j.cels.2019.03.012,PMC6544180
PXD010623,[31270210],10.1074/jbc.ra119.008252,PMC6709620
PXD010624,[30951247],10.1111/1462-2920.14623,
PXD010626,[30503751],10.1016/j.devcel.2018.11.011,PMC6302147
PXD010627,[30679029],10.1016/j.ejcb.2019.01.001,
PXD010629,[30405130],10.1038/s41467-018-06768-z,PMC6220262
PXD010630,[30362765],10.1021/acs.jproteome.8b00409,
PXD010632,[30213940],10.1038/s41467-018-06114-3,PMC6137200
PXD010634,[30341083],10.1074/mcp.ra118.001043,PMC6317481
PXD010637,[30979791],10.1074/mcp.ra118.001101,PMC6601213
PXD010640,[31123107],10.1074/mcp.ra119.001272,PMC6683006
PXD010641,[30891015],10.3389/fmicb.2019.00384,PMC6413534
PXD010643,,10.1016/J.IBIOD.2018.11.013,
PXD010647,[30095222],10.1002/pmic.201800091,
PXD010657,[32023468],10.1016/j.celrep.2020.01.011,PMC7003064
PXD010658,[30774995],10.1038/s41420-019-0149-7,PMC6370808
PXD010659,[27897233],10.1038/srep37975,PMC5126699
PXD010660,[30429547],10.1038/s41586-018-0678-x,PMC6707801
PXD010664,[30618712],10.3389/fnagi.2018.00405,PMC6305374
PXD010665,[30150413],10.1073/pnas.1810498115,PMC6140509
PXD010666,[31430995],10.3390/biology8030060,PMC6784106
PXD010669,[32453752],10.1371/journal.pntd.0008237,PMC7274458
PXD010670,[30510198],10.1038/s41467-018-07528-9,PMC6277444
PXD010672,[30629181],10.1093/nar/gky1289,PMC6393293
PXD010674,,10.1007/S11240-019-01741-0,
PXD010675,[30340407],10.3390/ijms19103223,PMC6214028
PXD010677,[31534536],10.7150/thno.36378,PMC6735508
PXD010679,[30644641],10.1111/jth.14384,PMC6850207
PXD010680,[31189116],10.1016/j.celrep.2019.05.057,PMC6581744
PXD010683,[30890564],10.1074/mcp.ra119.001302,PMC6553926
PXD010685,[31751591],10.1016/j.antiviral.2019.104651,PMC7114126
PXD010687,[30655532],10.1038/s41467-018-08154-1,PMC6336867
PXD010688,[30652484],10.1021/acs.jproteome.8b00709,
PXD010689,[31803016],10.3389/fnmol.2019.00272,PMC6873902
PXD010690,[30207155],10.1021/acs.jproteome.8b00308,
PXD010691,[30688043],10.1002/prca.201800173,
PXD010692,[30510561],10.3389/fpls.2018.01681,PMC6252348
PXD010694,[31189591],10.1073/pnas.1820737116,PMC6600913
PXD010695,[30126978],10.1074/mcp.ra117.000541,PMC6427236
PXD010697,"[31601739, 31601740]","10.1126/science.aav2642,10.1126/science.aav3617",
PXD010698,[30207155],10.1021/acs.jproteome.8b00308,
PXD010699,[30323187],10.1038/s41556-018-0213-1,
PXD010701,[30630937],10.1074/mcp.ra118.001141,PMC6442368
PXD010704,[30102515],10.1021/acs.analchem.8b02557,PMC6300314
PXD010705,[30207155],10.1021/acs.jproteome.8b00308,
PXD010708,[30207155],10.1021/acs.jproteome.8b00308,
PXD010709,[31357169],10.1016/j.isci.2019.07.018,PMC6664223
PXD010710,[31049047],10.1186/s12014-019-9239-z,PMC6482574
PXD010712,[31038678],10.1093/molbev/msz105,PMC6657725
PXD010713,[30370674],10.1111/cmi.12969,PMC6492283
PXD010714,[30514763],10.1074/jbc.ra118.005357,PMC6364784
PXD010715,[32709677],10.1074/mcp.ra120.002207,PMC8014993
PXD010720,[30746512],10.1128/mra.01280-18,PMC6368647
PXD010722,[31689115],10.1021/acs.jproteome.9b00589,
PXD010723,[32782445],10.1186/s12014-020-09292-9,PMC7412817
PXD010724,[30231569],10.3390/ijms19092819,PMC6164216
PXD010725,,10.1016/J.PALAEO.2018.09.013,
PXD010726,[31389636],10.1111/mmi.14362,PMC6851703
PXD010730,[31061535],10.1038/s41477-019-0415-y,
PXD010737,[30257202],10.1016/j.celrep.2018.08.076,PMC6172692
PXD010739,[30704074],10.3390/ijms20030599,PMC6386831
PXD010741,,10.1038/S41541-019-0111-Y,
PXD010743,[30532169],10.1371/journal.pone.0208352,PMC6287898
PXD010744,[31011308],10.1186/s12014-019-9236-2,PMC6461817
PXD010746,[30650966],10.1021/acs.jproteome.8b00673,
PXD010747,[30890563],10.1074/mcp.ra118.001140,PMC6553930
PXD010750,[30344098],10.1016/j.molcel.2018.09.020,
PXD010751,[30809273],10.1186/s13068-019-1359-1,PMC6375214
PXD010752,[34285469],10.2147/opth.s292218,PMC8286731
PXD010756,[30833305],10.15252/emmm.201809695,PMC6460357
PXD010757,[30425286],10.1038/s41598-018-34955-x,PMC6233167
PXD010759,[30814737],10.1038/s41586-019-0984-y,PMC6656374
PXD010760,[31070244],10.1002/hep.30701,PMC6899733
PXD010761,[31108460],10.1016/j.redox.2019.101211,PMC6526247
PXD010762,[30983354],10.1021/acs.jproteome.9b00195,
PXD010767,[32788343],10.1074/mcp.ra120.002219,PMC7664121
PXD010769,[30902834],10.1074/mcp.ra118.001093,PMC6553940
PXD010770,[31253082],10.1186/s12866-019-1527-2,PMC6599329
PXD010772,[31501572],10.1038/s41593-019-0479-z,
PXD010773,[30975701],10.1534/g3.119.400197,PMC6553528
PXD010774,[31501572],10.1038/s41593-019-0479-z,
PXD010776,[30145218],10.1016/j.ab.2018.08.013,
PXD010778,[30539259],10.1007/s00253-018-9525-0,PMC9098231
PXD010779,[30617155],10.1074/mcp.ra118.001266,PMC6442362
PXD010780,[30409808],10.1126/science.aat0174,PMC6551516
PXD010781,[31501572],10.1038/s41593-019-0479-z,
PXD010782,[30150413],10.1073/pnas.1810498115,PMC6140509
PXD010783,[30297838],10.1038/s41467-018-06650-y,PMC6175828
PXD010785,[30875365],10.1371/journal.pone.0213469,PMC6420031
PXD010786,[30217950],10.1074/mcp.ra118.000713,PMC6283294
PXD010787,[30217950],10.1074/mcp.ra118.000713,PMC6283294
PXD010788,[30814737],10.1038/s41586-019-0984-y,PMC6656374
PXD010793,[30171158],10.1074/mcp.ra118.000877,PMC6283289
PXD010794,[30659148],10.1073/pnas.1815238116,PMC6369806
PXD010796,[31083951],10.1021/acs.jproteome.9b00085,PMC7473601
PXD010806,[30118597],10.1021/acs.analchem.8b03005,
PXD010807,[32182160],10.1089/omi.2019.0191,PMC7366319
PXD010808,[30545830],10.1182/blood-2018-06-845156,PMC6384186
PXD010809,[32230932],10.3390/ijms21072331,PMC7212754
PXD010811,[30718433],10.1073/pnas.1815239116,PMC6386720
PXD010816,[30898901],10.1126/science.aar7486,
PXD010818,[30814737],10.1038/s41586-019-0984-y,PMC6656374
PXD010819,[31138643],10.1074/mcp.ra119.001367,PMC6683004
